,CountryISO,AppName,AppID,AppRating,Usage,Platform
427,FR,PagesJaunes–recherchelocale,,,Free,Android
428,FR,Rover - Dog Boarding & Walking,com.rover.android,3.8,Free,Android
429,FR,CAMPING-CAR-PARK,,,Free,Android
430,FR,AirAlgérie,,,Free,Android
431,FR,M'Ticket-TicketmobileTaM-Montpellier3M,,,Free,Android
432,FR,Cirkwi,com.cirkwi.pit,,Free,Android
433,FR,Boussoleélectronique:GPSCompasdeRelèvement,,,Free,Android
434,FR,Mapstr,com.hulab.mapstr,4.3,Free,Android
435,FR,LyonAéroport,,,Free,Android
436,FR,"HomeCamper&Gamping-lecamping,côtéjardin",,,Free,Android
437,FR,Legendex,com.didi.legendex,,Paid,Android
438,FR,RoadTrippin-GuideVoyageUSA,,,Paid,Android
439,FR,BonsPlansVoyageNewYork,,,Paid,Android
440,FR,LocaToWeb:TrackerGPS,,,Paid,Android
441,FR,OsmAnd+—Cartes&Navigation,,,Paid,Android
442,DE,Booking.com: Hotels and more,com.booking,4.6,Free,Android
443,DE,TIERE-Scooter&E-Roller,,,Free,Android
444,DE,Flightradar24 Flight Tracker,com.flightradar24free,4.6,Free,Android
445,DE,SIXTrent.share.ride.plus.,,,Free,Android
446,DE,ImmoScout24-Immobilien,,,Free,Android
447,DE,HomeAway Vacation Rentals,com.vacationrentals.homeaway,4.0,Free,Android
448,DE,9-Euro-Ticket,de.tickeos.mobile.android.neuneuro,,Free,Android
449,DE,MEINETUIUrlaub&ReiseportalfürIhreReise,,,Free,Android
450,DE,Eurowings–GünstigeFlüge,,,Free,Android
451,DE,FlixBus:GünstigeFernbus-TicketsfürEuropa,,,Free,Android
452,DE,Opodo:GünstigeFlüge&Hotels,,,Free,Android
453,DE,GetYourGuide:Tickets&Touren,,,Free,Android
454,DE,clever-tanken.de,de.mobilesoftwareag.clevertanken,4.3,Free,Android
455,DE,Voi–E-ScooterzumMieten,,,Free,Android
456,DE,park4nightWohnmobilandVan,,,Free,Android
457,DE,CASAMUNDO,,,Free,Android
458,DE,Bird — Ride Electric,co.bird.android,4.3,Free,Android
459,DE,nextbike,de.nextbike,4.4,Free,Android
460,DE,Parkster-EinfachParken,,,Free,Android
461,DE,HomeToGo:UrlaubimFerienhaus,,,Free,Android
462,DE,Vacation Countdown App,kulana.tools.vacationcountdown,4.6,Free,Android
463,DE,Yourwallet,eu.yourpass.wallet,4.2,Free,Android
464,DE,ADACPannenhilfe,,,Free,Android
465,DE,"OutdooractiveWandern,Fahrrad",,,Free,Android
466,DE,Condor,com.condor.buchung,1.4,Free,Android
467,DE,GPS-Offline-Kartennavigation,,,Free,Android
468,DE,CHECK24Reisen,,,Free,Android
469,DE,ADACTrips,,,Free,Android
470,DE,BlaBlaCar:Bus-undMitfahrten,,,Free,Android
471,DE,BVGTickets:Bus+BahnBerlin,,,Free,Android
472,DE,mehr-tanken and clever-sparen,de.msg,4.4,Free,Android
473,DE,SkyscannerFlügeHotels,,,Free,Android
474,DE,trivago: Compare hotel prices,com.trivago,4.3,Free,Android
475,DE,MILESCarsharing&Transporter,,,Free,Android
476,DE,PARKNOW,,,Free,Android
477,DE,Holidu: Vacation rentals,com.holidu.holidu,4.3,Free,Android
478,DE,mobil.nrw,com.mentz.mobilnrw_cibo_app,,Free,Android
479,DE,"Expedia: Hotels, Flights & Car",com.expedia.bookings,3.0,Free,Android
480,DE,Actionbound,de.actionbound,2.7,Free,Android
